Esn,Country,Region Code,Device Description,Ip,Ts
NFCDCH-LX-JH2N2JHTDWRRAQJRHET5KNRA014WY6,BR,SP,Chrome - Linux,2804:14d:ae84:8a63:8b95:5a5c:4774:fcd9,2022-08-21 00:15:26
NFCDCH-LX-JN0V2A7FYGPRLXD85EJ5JN8P2Y45FL,BR,ES,Chrome - Linux,2804:11e4:429:9800:b1af:7ae6:3b9a:7e80,2022-10-19 21:29:51
