,DS,Y
214,2016-08-02,49.0
215,2016-08-03,18.0
216,2016-08-04,13.0
217,2016-08-05,3.0
218,2016-08-06,0.0
219,2016-08-07,1.0
220,2016-08-08,0.0
221,2016-08-09,4.0
222,2016-08-10,18.0
223,2016-08-11,14.0
224,2016-08-12,23.0
225,2016-08-13,2.0
226,2016-08-14,6.0
227,2016-08-15,27.0
228,2016-08-16,26.0
229,2016-08-17,25.0
230,2016-08-18,19.0
231,2016-08-19,14.0
232,2016-08-20,28.0
233,2016-08-21,28.0
234,2016-08-22,23.0
235,2016-08-23,22.0
236,2016-08-24,27.0
237,2016-08-25,29.0
238,2016-08-26,59.0
239,2016-08-27,40.0
240,2016-08-28,31.0
241,2016-08-29,25.0
242,2016-08-30,42.0
243,2016-08-31,60.0
244,2016-09-01,28.0
245,2016-09-02,33.0
246,2016-09-03,9.0
247,2016-09-04,3.0
248,2016-09-05,9.0
249,2016-09-06,6.0
250,2016-09-07,0.0
251,2016-09-08,4.0
252,2016-09-09,6.0
253,2016-09-10,6.0
254,2016-09-11,19.0
255,2016-09-12,6.0
256,2016-09-13,30.0
257,2016-09-14,18.0
258,2016-09-15,8.0
259,2016-09-16,27.0
260,2016-09-17,45.0
261,2016-09-18,22.0
262,2016-09-19,29.0
263,2016-09-20,44.0
264,2016-09-21,49.0
265,2016-09-22,27.0
266,2016-09-23,39.0
267,2016-09-24,23.0
268,2016-09-25,27.0
269,2016-09-26,17.0
270,2016-09-27,37.0
271,2016-09-28,40.0
272,2016-09-29,46.0
273,2016-09-30,22.0
274,2016-10-01,38.0
275,2016-10-02,29.0
276,2016-10-03,28.0
277,2016-10-04,18.0
278,2016-10-05,44.0
279,2016-10-06,49.0
280,2016-10-07,52.0
281,2016-10-08,28.0
282,2016-10-09,17.0
283,2016-10-10,12.0
284,2016-10-11,0.0
285,2016-10-12,12.0
286,2016-10-13,14.0
287,2016-10-14,13.0
288,2016-10-15,37.0
289,2016-10-16,15.0
290,2016-10-17,24.0
291,2016-10-18,31.0
292,2016-10-19,18.0
293,2016-10-20,16.0
294,2016-10-21,3.0
295,2016-10-22,2.0
296,2016-10-23,2.0
297,2016-10-24,5.0
298,2016-10-25,10.0
299,2016-10-26,8.0
300,2016-10-27,16.0
301,2016-10-28,43.0
302,2016-10-29,15.0
303,2016-10-30,2.0
304,2016-10-31,15.0
305,2016-11-01,4.0
306,2016-11-02,0.0
307,2016-11-03,6.0
308,2016-11-04,8.0
309,2016-11-05,11.0
310,2016-11-06,1.0
311,2016-11-07,0.0
312,2016-11-08,0.0
313,2016-11-09,0.0
314,2016-11-10,0.0
315,2016-11-11,0.0
316,2016-11-12,0.0
317,2016-11-13,2.0
318,2016-11-14,4.0
